outlet,filename,entity_type,context,descriptors_list,cluster_id,cluster_label
FOX,Fox_18.txt,Shooter,"The suspect in President Biden, Salvador Ramos, was 18.",was,0,"Passive State (was, being)"
CNN,cnn_3_May24.txt,Shooter,"An 18-year-old man An 18-year-old man there was an ""active shooter"" at An 18-year-old man at 12:17 p.m.",active,1,"Investigation Status (active, identified)"
CNN,cnn_2_May24.txt,Shooter,"A suspect A suspect A suspect was an ""active shooter"" at A suspect at 12:17 p.m.",was,0,"Passive State (was, being)"
CNN,cnn_2_May24.txt,Shooter,"A suspect A suspect A suspect was an ""active shooter"" at A suspect at 12:17 p.m.",active,1,"Investigation Status (active, identified)"
CNN,cnn_2_May24.txt,Shooter,A suspect local time and said A suspect was on A suspect.,was,0,"Passive State (was, being)"
CNN,cnn_2_May24.txt,Shooter,"A suspect was A suspect into A suspect, according to the A suspect Police Department.",was,0,"Passive State (was, being)"
CNN,cnn_2_May24.txt,Shooter,"A suspect A suspect in A suspect, and A suspect received A suspect, said Tom Nordwick, a spokesperson from A suspect.",received,1,"Investigation Status (active, identified)"
CNN,cnn_2_May24.txt,Shooter,"A suspect A suspect in A suspect, and A suspect received A suspect, said Tom Nordwick, a spokesperson from A suspect.",received,1,"Investigation Status (active, identified)"
CNN,cnn_2_May24.txt,Shooter,"A suspect were transported to A suspect and A suspect is pending transfer, A suspect said.",said,2,"Attribution (said, told)"
CNN,cnn_2_May24.txt,Shooter,"A man in A suspect's 40s was also being treated, A suspect said.",said,2,"Attribution (said, told)"
CNN,cnn_1_May24.txt,Shooter,"A suspect is in A suspect after a shooting incident at Robb Elementary School in Uvalde, A suspect, left A suspect dead and injured 14 people, including A suspect, authorities A suspect.",dead,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_1_May24.txt,Shooter,"A suspect A suspect about an ""active shooter"" at A suspect at 12:17 p.m. local time and said A suspect was on A suspect.",active,1,"Investigation Status (active, identified)"
CNN,cnn_1_May24.txt,Shooter,"A suspect A suspect about an ""active shooter"" at A suspect at 12:17 p.m. local time and said A suspect was on A suspect.",was,0,"Passive State (was, being)"
CNN,cnn_1_May24.txt,Shooter,"A suspect was A suspect into A suspect as of 1:06 p.m. local time, according to the A suspect Police Department.",was,0,"Passive State (was, being)"
CNN,cnn_1_May24.txt,Shooter,"A suspect have A suspect after the shooting at A suspect, a spokesperson from A suspect A suspect A suspect.",have,2,"Attribution (said, told)"
CNN,cnn_1_May24.txt,Shooter,"A suspect received A suspect at A suspect's facility who were being treated for varying injuries, A suspect said.",received,1,"Investigation Status (active, identified)"
CNN,cnn_1_May24.txt,Shooter,"A suspect received A suspect at A suspect's facility who were being treated for varying injuries, A suspect said.",said,2,"Attribution (said, told)"
CNN,cnn_1_May24.txt,Shooter,"A suspect were transported to A suspect and A suspect is pending transfer, A suspect said.",said,2,"Attribution (said, told)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",was,0,"Passive State (was, being)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",was,0,"Passive State (was, being)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"The shooter -- identified by An 18-year-old gunman officials as Salvador Ramos, of An 18-year-old gunman -- also An 18-year-old gunman An 18-year-old gunman's grandmother before going to An 18-year-old gunman, An 18-year-old gunman told An 18-year-old gunman.",told,2,"Attribution (said, told)"
CNN,cnn_5_May24.txt,Shooter,"The shooter -- identified by An 18-year-old gunman officials as Salvador Ramos, of An 18-year-old gunman -- also An 18-year-old gunman An 18-year-old gunman's grandmother before going to An 18-year-old gunman, An 18-year-old gunman told An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"The shooter -- identified by An 18-year-old gunman officials as Salvador Ramos, of An 18-year-old gunman -- also An 18-year-old gunman An 18-year-old gunman's grandmother before going to An 18-year-old gunman, An 18-year-old gunman told An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"The shooter -- identified by An 18-year-old gunman officials as Salvador Ramos, of An 18-year-old gunman -- also An 18-year-old gunman An 18-year-old gunman's grandmother before going to An 18-year-old gunman, An 18-year-old gunman told An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"The shooter -- identified by An 18-year-old gunman officials as Salvador Ramos, of An 18-year-old gunman -- also An 18-year-old gunman An 18-year-old gunman's grandmother before going to An 18-year-old gunman, An 18-year-old gunman told An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"The shooter -- identified by An 18-year-old gunman officials as Salvador Ramos, of An 18-year-old gunman -- also An 18-year-old gunman An 18-year-old gunman's grandmother before going to An 18-year-old gunman, An 18-year-old gunman told An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"The shooter -- identified by An 18-year-old gunman officials as Salvador Ramos, of An 18-year-old gunman -- also An 18-year-old gunman An 18-year-old gunman's grandmother before going to An 18-year-old gunman, An 18-year-old gunman told An 18-year-old gunman.",told,2,"Attribution (said, told)"
CNN,cnn_5_May24.txt,Shooter,"The shooter -- identified by An 18-year-old gunman officials as Salvador Ramos, of An 18-year-old gunman -- also An 18-year-old gunman An 18-year-old gunman's grandmother before going to An 18-year-old gunman, An 18-year-old gunman told An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman told An 18-year-old gunman An 18-year-old gunman was airlifted to An 18-year-old gunman and ""is still holding on,"" according to information An 18-year-old gunman was given by An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman told An 18-year-old gunman An 18-year-old gunman was airlifted to An 18-year-old gunman and ""is still holding on,"" according to information An 18-year-old gunman was given by An 18-year-old gunman.",told,2,"Attribution (said, told)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman told An 18-year-old gunman An 18-year-old gunman was airlifted to An 18-year-old gunman and ""is still holding on,"" according to information An 18-year-old gunman was given by An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman told An 18-year-old gunman An 18-year-old gunman was airlifted to An 18-year-old gunman and ""is still holding on,"" according to information An 18-year-old gunman was given by An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman told An 18-year-old gunman An 18-year-old gunman was airlifted to An 18-year-old gunman and ""is still holding on,"" according to information An 18-year-old gunman was given by An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman told An 18-year-old gunman An 18-year-old gunman was airlifted to An 18-year-old gunman and ""is still holding on,"" according to information An 18-year-old gunman was given by An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman told An 18-year-old gunman An 18-year-old gunman was airlifted to An 18-year-old gunman and ""is still holding on,"" according to information An 18-year-old gunman was given by An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman is believed to have acted alone, An 18-year-old gunman Police Chief Pete Arredondo said.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman is believed to have acted alone, An 18-year-old gunman Police Chief Pete Arredondo said.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman is believed to have acted alone, An 18-year-old gunman Police Chief Pete Arredondo said.",said,2,"Attribution (said, told)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman was the deadliest at an elementary school since the An 18-year-old gunman massacre in An 18-year-old gunman in An 18-year-old gunman that left An 18-year-old gunman dead, including An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman was the deadliest at an elementary school since the An 18-year-old gunman massacre in An 18-year-old gunman in An 18-year-old gunman that left An 18-year-old gunman dead, including An 18-year-old gunman.",was,0,"Passive State (was, being)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman was the deadliest at an elementary school since the An 18-year-old gunman massacre in An 18-year-old gunman in An 18-year-old gunman that left An 18-year-old gunman dead, including An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman was the deadliest at an elementary school since the An 18-year-old gunman massacre in An 18-year-old gunman in An 18-year-old gunman that left An 18-year-old gunman dead, including An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman was the deadliest at an elementary school since the An 18-year-old gunman massacre in An 18-year-old gunman in An 18-year-old gunman that left An 18-year-old gunman dead, including An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman was the deadliest at an elementary school since the An 18-year-old gunman massacre in An 18-year-old gunman in An 18-year-old gunman that left An 18-year-old gunman dead, including An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,Here are the latest developments in An 18-year-old gunman's tragedy:,old,3,"Identity & Outcome (dead, former, old)"
NYT,NYT_19_May26.txt,Shooter,Rumors about the gunman alleged that parents shown in Rumors about the gunman awaiting news of Rumors about the gunman's children appeared to be insufficiently emotional and were Rumors about the gunman being Rumors about the gunman to play Rumors about the gunman.,being,0,"Passive State (was, being)"
NYT,NYT_2_May25.txt,Shooter,"A gunman was among A gunman, and A gunman were wounded.",was,0,"Passive State (was, being)"
NYT,NYT_2_May25.txt,Shooter,"The gunman, whom A gunman identified as an 18-year-old man who had attended a nearby high school, was armed with A gunman, A gunman A gunman.",identified,1,"Investigation Status (active, identified)"
NYT,NYT_2_May25.txt,Shooter,"A gunman also A gunman at A gunman, A gunman said.

''",said,2,"Attribution (said, told)"
NYT,NYT_2_May25.txt,Shooter,"A gunman also A gunman at A gunman, A gunman said.

''",said,2,"Attribution (said, told)"
NYT,NYT_2_May25.txt,Shooter,"A gunman A gunman and A gunman horrifically, incomprehensibly,'' A gunman said in A gunman.",said,2,"Attribution (said, told)"
NYT,NYT_2_May25.txt,Shooter,"A gunman A gunman and A gunman horrifically, incomprehensibly,'' A gunman said in A gunman.",said,2,"Attribution (said, told)"
NYT,NYT_2_May25.txt,Shooter,"As terrified parents in A gunman waited for word of A gunman's children's safety and law enforcement officials raced to piece together how A gunman had transpired, A gunman was deepening A gunman.",transpired,4,Event Context (transpired)
NYT,NYT_2_May25.txt,Shooter,"As terrified parents in A gunman waited for word of A gunman's children's safety and law enforcement officials raced to piece together how A gunman had transpired, A gunman was deepening A gunman.",deepening,4,Event Context (transpired)
WSJ,WSJ_1_May25.txt,Victim,"Ramos, a former student at An 18-year-old man, An 18-year-old man An 18-year-old man's grandmother before going to An 18-year-old man, police An 18-year-old man.",former,3,"Identity & Outcome (dead, former, old)"
